,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
361,RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,"December 18, 2009","March 21, 2014"
362,SolutionsBank,Overland Park,KS,4731,Arvest Bank,"December 11, 2009","July 19, 2016"
363,"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,"December 11, 2009","October 20, 2016"
364,"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,"December 11, 2009","March 21, 2014"
365,Greater Atlantic Bank,Reston,VA,32583,Sonabank,"December 4, 2009","March 21, 2014"
366,Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.","December 4, 2009","August 23, 2012"
367,AmTrust Bank,Cleveland,OH,29776,New York Community Bank,"December 4, 2009","March 21, 2014"
368,The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,"December 4, 2009","March 21, 2014"
369,First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,"December 4, 2009","October 17, 2015"
370,The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,"December 4, 2009","March 21, 2014"
371,Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,"November 20, 2009","March 21, 2014"
372,Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,"November 13, 2009","August 22, 2012"
373,Orion Bank,Naples,FL,22427,IBERIABANK,"November 13, 2009","March 21, 2014"
374,"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,"November 13, 2009","March 21, 2014"
375,United Commercial Bank,San Francisco,CA,32469,East West Bank,"November 6, 2009","November 5, 2012"
376,Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,"November 6, 2009","August 22, 2012"
377,Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.","November 6, 2009","August 22, 2012"
378,Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,"November 6, 2009","August 22, 2012"
379,United Security Bank,Sparta,GA,22286,Ameris Bank,"November 6, 2009","March 21, 2014"
380,North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
381,Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
382,Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
383,Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
384,Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
385,California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,"October 30, 2009","September 5, 2012"
386,San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
387,Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,"October 30, 2009","January 15, 2013"
388,"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
389,First DuPage Bank,Westmont,IL,35038,First Midwest Bank,"October 23, 2009","August 22, 2012"
390,Riverview Community Bank,Otsego,MN,57525,Central Bank,"October 23, 2009","August 22, 2012"
391,Bank of Elmwood,Racine,WI,18321,Tri City National Bank,"October 23, 2009","August 22, 2012"
392,Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,"October 23, 2009","February 5, 2015"
393,Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,"October 23, 2009","August 22, 2012"
394,American United Bank,Lawrenceville,GA,57794,Ameris Bank,"October 23, 2009","September 5, 2012"
395,Partners Bank,Naples,FL,57959,Stonegate Bank,"October 23, 2009","February 5, 2015"
396,San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,"October 16, 2009","August 22, 2012"
397,Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,"October 2, 2009","July 19, 2016"
398,Jennings State Bank,Spring Grove,MN,11416,Central Bank,"October 2, 2009","August 21, 2012"
399,Warren Bank,Warren,MI,34824,The Huntington National Bank,"October 2, 2009","August 21, 2012"
400,Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.","September 25, 2009","August 21, 2012"
401,"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.","September 18, 2009","September 5, 2012"
402,Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.","September 18, 2009","August 21, 2012"
403,Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,"September 11, 2009","August 21, 2012"
404,Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,"September 11, 2009","October 20, 2016"
405,"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.","September 11, 2009","August 21, 2012"
406,First State Bank,Flagstaff,AZ,34875,Sunwest Bank,"September 4, 2009","February 5, 2015"
407,Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,"September 4, 2009","August 21, 2012"
408,Vantus Bank,Sioux City,IA,27732,Great Southern Bank,"September 4, 2009","August 21, 2012"
409,InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.","September 4, 2009","October 17, 2015"
410,First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,"September 4, 2009","August 21, 2012"
411,Affinity Bank,Ventura,CA,27197,Pacific Western Bank,"August 28, 2009","August 21, 2012"
412,Mainstreet Bank,Forest Lake,MN,1909,Central Bank,"August 28, 2009","August 21, 2012"
413,Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),"August 28, 2009","January 15, 2013"
414,Guaranty Bank,Austin,TX,32618,BBVA Compass,"August 21, 2009","August 21, 2012"
415,CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,"August 21, 2009","January 15, 2013"
416,First Coweta Bank,Newnan,GA,57702,United Bank,"August 21, 2009","December 7, 2015"
417,ebank,Atlanta,GA,34682,"Stearns Bank, N.A.","August 21, 2009","August 21, 2012"
418,Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,"August 14, 2009","August 21, 2012"
419,Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,"August 14, 2009","August 21, 2012"
420,"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,"August 14, 2009","August 21, 2012"
421,Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)","August 14, 2009","June 12, 2014"
422,Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.","August 14, 2009","January 15, 2013"
423,Community First Bank,Prineville,OR,23268,Home Federal Bank,"August 7, 2009","January 15, 2013"
424,Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.","August 7, 2009","August 20, 2012"
425,First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.","August 7, 2009","August 20, 2012"
426,Mutual Bank,Harvey,IL,18659,United Central Bank,"July 31, 2009","August 20, 2012"
427,First BankAmericano,Elizabeth,NJ,34270,Crown Bank,"July 31, 2009","August 20, 2012"
428,Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.","July 31, 2009","August 20, 2012"
429,Integrity Bank,Jupiter,FL,57604,Stonegate Bank,"July 31, 2009","August 20, 2012"
430,First State Bank of Altus,Altus,OK,9873,Herring Bank,"July 31, 2009","August 20, 2012"
431,Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,"July 24, 2009","August 20, 2012"
432,Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,"July 24, 2009","October 17, 2015"
433,Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,"July 24, 2009","August 20, 2012"
434,Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,"July 24, 2009","January 6, 2016"
435,Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,"July 24, 2009","August 20, 2012"
436,Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,"July 24, 2009","August 20, 2012"
437,Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.","July 24, 2009","November 1, 2013"
438,Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,"July 17, 2009","October 20, 2016"
439,Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,"July 17, 2009","August 20, 2012"
440,BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.","July 17, 2009","August 20, 2012"
441,First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,"July 17, 2009","August 8, 2016"
442,Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,"July 10, 2009","August 20, 2012"
443,Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,"July 2, 2009","August 20, 2012"
444,Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,"July 2, 2009","October 26, 2012"
445,First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.","July 2, 2009","August 20, 2012"
446,Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,"July 2, 2009","August 20, 2012"
447,Rock River Bank,Oregon,IL,15302,The Harvard State Bank,"July 2, 2009","August 20, 2012"
448,First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,"July 2, 2009","August 20, 2012"
449,John Warner Bank,Clinton,IL,12093,State Bank of Lincoln,"July 2, 2009","August 20, 2012"
450,Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,"June 26, 2009","August 20, 2012"
451,MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,"June 26, 2009","February 5, 2015"
452,Horizon Bank,Pine City,MN,9744,"Stearns Bank, N.A.","June 26, 2009","February 5, 2015"
453,Neighborhood Community Bank,Newnan,GA,35285,CharterBank,"June 26, 2009","December 7, 2015"
454,Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,"June 26, 2009","August 17, 2012"
455,First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,"June 19, 2009","September 21, 2015"
456,Cooperative Bank,Wilmington,NC,27837,First Bank,"June 19, 2009","August 17, 2012"
457,Southern Community Bank,Fayetteville,GA,35251,United Community Bank,"June 19, 2009","September 21, 2015"
458,Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,"June 5, 2009","August 17, 2012"
459,Citizens National Bank,Macomb,IL,5757,Morton Community Bank,"May 22, 2009","September 4, 2012"
460,Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,"May 22, 2009","September 4, 2012"
461,"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,"May 21, 2009","August 17, 2012"
462,Westsound Bank,Bremerton,WA,34843,Kitsap Bank,"May 8, 2009","September 4, 2012"
463,America West Bank,Layton,UT,35461,Cache Valley Bank,"May 1, 2009","August 17, 2012"
464,Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,"May 1, 2009","September 4, 2012"
465,"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,"May 1, 2009","August 17, 2012"
466,First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.","April 24, 2009","August 17, 2012"
467,First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,"April 24, 2009","September 4, 2012"
468,Michigan Heritage Bank,Farmington Hills,MI,34369,Level One Bank,"April 24, 2009","August 17, 2012"
469,American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,"April 24, 2009","August 17, 2012"
470,Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,"April 17, 2009","September 4, 2012"
471,American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,"April 17, 2009","August 31, 2012"
472,New Frontier Bank,Greeley,CO,34881,No Acquirer,"April 10, 2009","September 4, 2012"
473,Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,"April 10, 2009","April 12, 2016"
474,Omni National Bank,Atlanta,GA,22238,No Acquirer,"March 27, 2009","August 17, 2012"
475,"TeamBank, NA",Paola,KS,4754,Great Southern Bank,"March 20, 2009","September 12, 2016"
476,Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,"March 20, 2009","August 17, 2012"
477,FirstCity Bank,Stockbridge,GA,18243,No Acquirer,"March 20, 2009","August 17, 2012"
478,Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,"March 6, 2009","August 17, 2012"
479,Security Savings Bank,Henderson,NV,34820,Bank of Nevada,"February 27, 2009","September 7, 2012"
480,Heritage Community Bank,Glenwood,IL,20078,"MB Financial Bank, N.A.","February 27, 2009","August 17, 2012"
481,Silver Falls Bank,Silverton,OR,35399,Citizens Bank,"February 20, 2009","August 17, 2012"
482,Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,"February 13, 2009","December 7, 2015"
483,Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,"February 13, 2009","August 17, 2012"
484,Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,"February 13, 2009","August 17, 2012"
485,Sherman County Bank,Loup City,NE,5431,Heritage Bank,"February 13, 2009","August 17, 2012"
486,County Bank,Merced,CA,22574,Westamerica Bank,"February 6, 2009","September 4, 2012"
487,Alliance Bank,Culver City,CA,23124,California Bank & Trust,"February 6, 2009","August 16, 2012"
488,FirstBank Financial Services,McDonough,GA,57017,Regions Bank,"February 6, 2009","August 16, 2012"
489,Ocala National Bank,Ocala,FL,26538,"CenterState Bank of Florida, N.A.","January 30, 2009","September 4, 2012"
490,Suburban FSB,Crofton,MD,30763,Bank of Essex,"January 30, 2009","February 4, 2016"
491,MagnetBank,Salt Lake City,UT,58001,No Acquirer,"January 30, 2009","August 16, 2012"
492,1st Centennial Bank,Redlands,CA,33025,First California Bank,"January 23, 2009","April 13, 2016"
493,Bank of Clark County,Vancouver,WA,34959,Umpqua Bank,"January 16, 2009","August 16, 2012"
494,National Bank of Commerce,Berkeley,IL,19733,Republic Bank of Chicago,"January 16, 2009","August 16, 2012"
495,Sanderson State Bank  En Espanol,Sanderson,TX,11568,The Pecos County State Bank,"December 12, 2008","October 25, 2013"
496,Haven Trust Bank,Duluth,GA,35379,"Branch Banking & Trust Company, (BB&T)","December 12, 2008","August 16, 2012"
497,First Georgia Community Bank,Jackson,GA,34301,United Bank,"December 5, 2008","August 16, 2012"
498,PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.","November 21, 2008","January 4, 2013"
499,Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.","November 21, 2008","January 4, 2013"
500,Community Bank,Loganville,GA,16490,Bank of Essex,"November 21, 2008","September 4, 2012"
501,Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,"November 7, 2008","August 28, 2012"
502,"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,"November 7, 2008","August 16, 2012"
503,Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,"October 31, 2008","August 16, 2012"
504,Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.","October 24, 2008","August 16, 2012"
505,Meridian Bank,Eldred,IL,13789,National Bank,"October 10, 2008","May 31, 2012"
506,Main Street Bank,Northville,MI,57654,Monroe Bank & Trust,"October 10, 2008","August 1, 2013"
507,Washington Mutual Bank  (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,32633,JP Morgan Chase Bank,"September 25, 2008","August 4, 2015"
508,Ameribank,Northfork,WV,6782,"The Citizens Savings Bank  Pioneer Community Bank, Inc.","September 19, 2008","September 21, 2015"
509,Silver State Bank  En Espanol,Henderson,NV,34194,Nevada State Bank,"September 5, 2008","October 25, 2013"
510,Integrity Bank,Alpharetta,GA,35469,Regions Bank,"August 29, 2008","August 16, 2012"
511,Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,"August 22, 2008","March 26, 2015"
512,First Priority Bank,Bradenton,FL,57523,SunTrust Bank,"August 1, 2008","March 26, 2015"
513,"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,"July 25, 2008","September 12, 2016"
514,First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,"July 25, 2008","August 28, 2012"
515,IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB","July 11, 2008","April 22, 2015"
516,"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,"May 30, 2008","October 20, 2016"
517,"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,"May 9, 2008","August 28, 2012"
518,Hume Bank,Hume,MO,1971,Security Bank,"March 7, 2008","August 28, 2012"
519,Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,"January 25, 2008","October 26, 2012"
520,Miami Valley Bank,Lakeview,OH,16848,The Citizens Banking Company,"October 4, 2007","September 12, 2016"
521,NetBank,Alpharetta,GA,32575,ING DIRECT,"September 28, 2007","August 28, 2012"
522,Metropolitan Savings Bank,Pittsburgh,PA,35353,Allegheny Valley Bank of Pittsburgh,"February 2, 2007","October 27, 2010"
523,Bank of Ephraim,Ephraim,UT,1249,Far West Bank,"June 25, 2004","April 9, 2008"
524,Reliance Bank,White Plains,NY,26778,Union State Bank,"March 19, 2004","April 9, 2008"
525,Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,"March 12, 2004","June 5, 2012"
526,Dollar Savings Bank,Newark,NJ,31330,No Acquirer,"February 14, 2004","April 9, 2008"
527,Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,"November 14, 2003","July 22, 2005"
528,First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,"May 9, 2003","June 5, 2012"
529,Southern Pacific Bank,Torrance,CA,27094,Beal Bank,"February 7, 2003","October 20, 2008"
530,Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,"December 17, 2002","October 20, 2004"
531,Bank of Alamo,Alamo,TN,9961,No Acquirer,"November 8, 2002","March 18, 2005"
532,AmTrade International Bank  En Espanol,Atlanta,GA,33784,No Acquirer,"September 30, 2002","September 11, 2006"
533,Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,"June 27, 2002","April 9, 2008"
534,Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,"June 26, 2002","February 14, 2012"
535,New Century Bank,Shelby Township,MI,34979,No Acquirer,"March 28, 2002","March 18, 2005"
536,Net 1st National Bank,Boca Raton,FL,26652,Bank Leumi USA,"March 1, 2002","April 9, 2008"
537,"NextBank, NA",Phoenix,AZ,22314,No Acquirer,"February 7, 2002","February 5, 2015"
538,Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,"February 1, 2002","October 25, 2012"
539,Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,"January 18, 2002","November 6, 2003"
540,"Hamilton Bank, NA  En Espanol",Miami,FL,24382,Israel Discount Bank of New York,"January 11, 2002","September 21, 2015"
541,Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,"September 7, 2001","February 10, 2004"
542,"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB","July 27, 2001","August 19, 2014"
543,Malta National Bank,Malta,OH,6629,North Valley Bank,"May 3, 2001","November 18, 2002"
544,First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,"February 2, 2001","February 18, 2003"
545,National State Bank of Metropolis,Metropolis,IL,3815,Banterra Bank of Marion,"December 14, 2000","March 17, 2005"
546,Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,"October 13, 2000","March 17, 2005"
